code,name,description,refreshed_at,from_date,to_date
WLOUSD,WLO/USD Exchange Rate,Exchange rates on BTIFinex exchange. Updated at 7:00pm EST.,2020-10-14 23:18:52,2018-11-19,2020-10-14
WLOXLM,WLO/XLM Exchange Rate,Exchange rates on BTIFinex exchange. Updated at 7:00pm EST.,2020-03-25 23:23:03,2018-11-19,2020-03-25
WPRBTC,WPR/BTC Exchange Rate,Exchange rates on BTIFinex exchange. Updated at 7:00pm EST.,2020-03-25 23:23:03,2018-07-26,2020-03-25
WPRETH,WPR/ETH Exchange Rate,Exchange rates on BTIFinex exchange. Updated at 7:00pm EST.,2020-03-25 23:23:03,2018-07-26,2020-03-25
WPRUSD,WPR/USD Exchange Rate,Exchange rates on BTIFinex exchange. Updated at 7:00pm EST.,2021-03-26 23:19:26,2018-07-26,2021-03-26
WTCETH,WTC/ETH Exchange Rate,Exchange rates on BTIFinex exchange. Updated at 7:00pm EST.,2020-03-25 23:23:03,2018-10-18,2020-03-25
WTCUSD,WTC/USD Exchange Rate,Exchange rates on BTIFinex exchange. Updated at 7:00pm EST.,2021-03-26 23:19:26,2018-10-18,2021-03-26
XAGF0USTF0,XAG/F0:USTF0 Exchange Rate,Exchange rates on BTIFinex exchange. Updated at 7:00pm EST.,2021-07-18 23:18:52,2020-10-26,2021-07-18
XAUTBTC,XAU/T:BTC Exchange Rate,Exchange rates on BTIFinex exchange. Updated at 7:00pm EST.,2021-07-18 23:18:52,2020-01-24,2021-07-18
XAUTF0BTCF0,XAU/TF0:BTCF0 Exchange Rate,Exchange rates on BTIFinex exchange. Updated at 7:00pm EST.,2021-07-18 23:18:52,2021-04-09,2021-07-18
XAUTF0USTF0,XAU/TF0:USTF0 Exchange Rate,Exchange rates on BTIFinex exchange. Updated at 7:00pm EST.,2021-07-18 23:18:52,2020-03-05,2021-07-18
XAUTUSD,XAU/T:USD Exchange Rate,Exchange rates on BTIFinex exchange. Updated at 7:00pm EST.,2021-07-18 23:18:52,2020-01-24,2021-07-18
XAUTUST,XAU/T:UST Exchange Rate,Exchange rates on BTIFinex exchange. Updated at 7:00pm EST.,2021-07-18 23:18:52,2020-01-24,2021-07-18
XCHETH,XCH/ETH Exchange Rate,Exchange rates on BTIFinex exchange. Updated at 7:00pm EST.,2021-04-22 23:18:05,2019-05-02,2021-04-22
XCHUSD,XCH/USD Exchange Rate,Exchange rates on BTIFinex exchange. Updated at 7:00pm EST.,2021-07-18 23:18:52,2019-05-02,2021-07-18
XDCUSD,XDC/USD Exchange Rate,Exchange rates on BTIFinex exchange. Updated at 7:00pm EST.,2021-07-18 23:18:52,2020-11-16,2021-07-18
XDCUST,XDC/UST Exchange Rate,Exchange rates on BTIFinex exchange. Updated at 7:00pm EST.,2021-07-18 23:18:52,2020-11-16,2021-07-18
XLMBTC,XLM/BTC Exchange Rate,Exchange rates on BTIFinex exchange. Updated at 7:00pm EST.,2021-07-18 23:18:52,2018-07-05,2021-07-18
XLMETH,XLM/ETH Exchange Rate,Exchange rates on BTIFinex exchange. Updated at 7:00pm EST.,2021-07-18 23:18:52,2018-07-05,2021-07-18
XLMEUR,XLM/EUR Exchange Rate,Exchange rates on BTIFinex exchange. Updated at 7:00pm EST.,2020-10-22 23:18:09,2018-07-05,2020-10-22
XLMF0USTF0,XLM/F0:USTF0 Exchange Rate,Exchange rates on BTIFinex exchange. Updated at 7:00pm EST.,2021-07-18 23:18:52,2021-02-03,2021-07-18
XLMGBP,XLM/GBP Exchange Rate,Exchange rates on BTIFinex exchange. Updated at 7:00pm EST.,2020-10-22 23:18:09,2018-07-05,2020-10-22
XLMJPY,XLM/JPY Exchange Rate,Exchange rates on BTIFinex exchange. Updated at 7:00pm EST.,2020-03-25 23:23:03,2018-07-05,2020-03-25
XLMUSD,XLM/USD Exchange Rate,Exchange rates on BTIFinex exchange. Updated at 7:00pm EST.,2021-07-18 23:18:52,2018-07-05,2021-07-18
XLMUST,XLM/UST Exchange Rate,Exchange rates on BTIFinex exchange. Updated at 7:00pm EST.,2021-07-18 23:18:52,2021-02-03,2021-07-18
XMRBTC,XMR/BTC Exchange Rate,Exchange rates on BTIFinex exchange. Updated at 7:00pm EST.,2021-07-18 23:18:52,2016-12-01,2021-07-18
XMRUSD,XMR/USD Exchange Rate,Exchange rates on BTIFinex exchange. Updated at 7:00pm EST.,2021-07-18 23:18:52,2016-12-01,2021-07-18
XMRUST,XMR/UST Exchange Rate,Exchange rates on BTIFinex exchange. Updated at 7:00pm EST.,2021-07-18 23:18:52,2020-12-18,2021-07-18
XRAETH,XRA/ETH Exchange Rate,Exchange rates on BTIFinex exchange. Updated at 7:00pm EST.,2020-03-25 23:23:03,2018-08-09,2020-03-25
XRAUSD,XRA/USD Exchange Rate,Exchange rates on BTIFinex exchange. Updated at 7:00pm EST.,2021-07-18 23:18:52,2018-08-09,2021-07-18
XRPBTC,XRP/BTC Exchange Rate,Exchange rates on BTIFinex exchange. Updated at 7:00pm EST.,2021-07-18 23:18:52,2017-05-19,2021-07-18
XRPUSD,XRP/USD Exchange Rate,Exchange rates on BTIFinex exchange. Updated at 7:00pm EST.,2021-07-18 23:18:52,2017-05-19,2021-07-18
XRPUST,XRP/UST Exchange Rate,Exchange rates on BTIFinex exchange. Updated at 7:00pm EST.,2021-07-18 23:18:52,2020-12-18,2021-07-18
XSNUSD,XSN/USD Exchange Rate,Exchange rates on BTIFinex exchange. Updated at 7:00pm EST.,2021-07-18 23:18:52,2021-01-12,2021-07-18
XTZBTC,XTZ/BTC Exchange Rate,Exchange rates on BTIFinex exchange. Updated at 7:00pm EST.,2021-07-18 23:18:52,2018-09-17,2021-07-18
XTZUSD,XTZ/USD Exchange Rate,Exchange rates on BTIFinex exchange. Updated at 7:00pm EST.,2021-07-18 23:18:52,2018-09-17,2021-07-18
XVGBTC,XVG/BTC Exchange Rate,Exchange rates on BTIFinex exchange. Updated at 7:00pm EST.,2020-10-22 23:18:09,2018-07-05,2020-10-22
